,r2_score,mse,mae,rmse
linear,0.6140374581937286,50108890441.87737,141202.52087559275,223850.15175754824
lasso,0.6140382486712574,50108787815.46264,141201.12711358268,223849.9225272652
ridge,0.6140650587398171,50105307107.77035,141159.83000754734,223842.14774650984
svr,-0.057507058025056956,137294425163.89967,219724.43961038365,370532.6236161934
tree,0.7158053431309979,36896531094.88452,102636.73419185689,192084.69771141198
forest,0.8553259362163859,18782798916.152496,74260.65387047603,137050.35175493895
